Position	beta	iHS	nSL	XP-EHH	DDAF	Noise1	Noise2	Noise3
500000.0	-998	5.10687	3.30174	1.7250599999999998	-998	2.09216735533	-998	-11.8957522826
500000.0	-998	-998	0.882595	2.1002400000000003	-998	-0.748438983623	2.17881750352	11.4267884301
500000.0	-998	2.0365599999999997	-998	-998	1.4349145293	-1.0110358905799999	5.6838597786500005	25.4388626548
500000.0	2.6468700000000003	3.85189	-998	2.09417	1.35903904492	-998	2.0651059185	17.6761436016
500000.0	-998	3.4713199999999995	-998	0.801439	1.54114020743	0.551832033972	-998	3.00524609652
500000.0	0.0	3.5872800000000002	-998	1.87969	-998	-0.406698167711	-0.583690003938	-998
500000.0	0.024086	4.83691	2.37912	-998	-998	-998	-4.08865468863	4.64348173808
500000.0	0.0	4.16195	-998	-998	1.54114020743	0.16747432175000002	-1.61001919541	3.54900192354
500000.0	1.167844	-998	1.9714599999999998	1.81945	1.5942530465	0.600122713084	-5.31754965636	-998
500000.0	-0.243181	4.12215	-998	2.45391	1.5942530465	-1.09202071371	-998	-1.7679726817400003
500000.0	-998	5.20707	-998	1.3034	1.5259651105599998	-1.43951054683	3.2623510031700005	-13.0888858742
500000.0	-0.258785	3.89459	-998	0.937099	1.55631530431	0.141985052577	1.32019453329	-998
500000.0	-998	3.45624	-998	0.9587040000000001	1.73841646683	-998	-7.73040507594	-24.1010424313
500000.0	-998	5.0178199999999995	3.2016400000000003	1.42347	1.73082891839	-998	-998	34.797961122
500000.0	-0.141014	-998	1.35406	1.79446	1.44250207774	-1.03073634673	-998	-998
500000.0	-0.15066300000000002	4.55467	-998	-998	1.56390285275	0.304595161288	-3.97513483931	20.5436657432
500000.0	0.511219	4.42741	2.6166099999999997	2.3349	1.54114020743	-998	-3.5644166777499997	-998
500000.0	-998	-998	1.6594	1.35256	1.45767717461	-998	2.8805565641000004	-6.553207144299999
500000.0	1.78157	3.0657900000000002	-998	1.1182	-998	-0.166587882646	0.237361199741	-998
500000.0	0.782013	2.75639	1.57271	0.474041	-998	0.160297034021	-998	-998
500000.0	0.0	3.93972	-998	-998	1.7611791121400002	1.0242548962	-998	11.001657353299999
500000.0	1.048691	5.1875	1.9313900000000002	2.38905	1.4956149168000001	-998	3.8280206875199996	-998
500000.0	-998	-998	3.00478	-998	1.73841646683	0.575627531167	-1.6576458704700001	1.43117083075
500000.0	-998	4.50105	2.4409400000000003	-998	1.51079001368	1.86908298724	-5.683388235060001	0.036258337141800004
500000.0	2.826598	3.96593	-998	2.01714	-998	0.8409604572130001	-4.50847748613	-998
500000.0	-998	4.19958	2.4879599999999997	1.70213	1.70806627308	0.235445939278	-998	-998
500000.0	1.18967	4.0622	2.2156700000000003	2.11622	1.6321907886899998	0.6445918261399999	-998	-998
500000.0	-0.12431500000000001	3.6994300000000004	1.50559	1.3724299999999998	1.60942814338	-0.803945248529	-998	-998
500000.0	-998	3.64428	-998	1.15421	1.6246032402500001	-1.46679967028	2.22833935223	-998
500000.0	1.075561	3.6799699999999995	2.11508	-998	-998	0.333949831048	-998	-8.62868379749
500000.0	-998	2.57457	-998	2.0703099999999997	-998	0.567341899569	0.7164389608	3.52683037274
500000.0	-998	4.66436	2.4894	-998	-998	0.729662622834	4.80491096731	16.2292222789
500000.0	-998	4.83774	2.62207	-998	1.60942814338	-998	0.41905712968500003	16.663276423800003
500000.0	1.727429	-998	2.1642799999999998	2.76418	1.48802736837	-998	-998	1.6479691695299998
500000.0	0.0	5.4701	-998	2.22427	1.6321907886899998	-0.796922460189	-998	-998
