Position	beta	iHH12	iHS	nSL	XP-EHH	DDAF	AF	Noise1	Noise2	Noise3	Num_missing
500000	1.171403	6.53443	5.10687	3.30174	1.7250599999999998	1.5942530465	0.5125	2.09216735533	7.09751581462	-11.8957522826	0
500000	-0.5798270000000001	5.974069999999999	2.76559	0.882595	2.1002400000000003	1.48043981993	0.475	-0.748438983623	2.17881750352	11.4267884301	0
500000	4.656666	3.06803	2.0365599999999997	1.20672	1.98385	1.4349145293	0.46	-1.0110358905799999	5.6838597786500005	25.4388626548	0
500000	2.6468700000000003	3.8857800000000005	3.85189	1.8497599999999998	2.09417	1.35903904492	0.435	-0.0671252958311	2.0651059185	17.6761436016	0
500000	-0.160977	7.85222	3.4713199999999995	1.2908	0.801439	1.54114020743	0.495	0.551832033972	-2.85916466574	3.00524609652	0
500000	0.0	6.19056	3.5872800000000002	2.0354900000000002	1.87969	1.6549534340099998	0.5325	-0.406698167711	-0.583690003938	-10.8904035116	0
500000	0.024086	3.12797	4.83691	2.37912	1.6679099999999998	1.73841646683	0.56	-0.40308154609200003	-4.08865468863	4.64348173808	0
500000	0.0	4.95408	4.16195	1.93678	2.05305	1.54114020743	0.495	0.16747432175000002	-1.61001919541	3.54900192354	0
500000	1.167844	6.1856599999999995	3.62944	1.9714599999999998	1.81945	1.5942530465	0.5125	0.600122713084	-5.31754965636	4.83526619879	0
500000	-0.243181	8.8098	4.12215	1.5714	2.45391	1.5942530465	0.5125	-1.09202071371	2.52927396271	-1.7679726817400003	0
500000	-0.21484299999999998	4.91747	5.20707	2.7760700000000003	1.3034	1.5259651105599998	0.49	-1.43951054683	3.2623510031700005	-13.0888858742	0
500000	-0.258785	2.13423	3.89459	2.56973	0.937099	1.55631530431	0.5	0.141985052577	1.32019453329	-7.63347984112	0
500000	0.0	3.2026	3.45624	2.41668	0.9587040000000001	1.73841646683	0.56	-0.7441951908869999	-7.73040507594	-24.1010424313	0
500000	0.340996	5.95178	5.0178199999999995	3.2016400000000003	1.42347	1.73082891839	0.5575	-0.39567493409599996	0.608339335414	34.797961122	0
500000	-0.141014	7.46564	5.26941	1.35406	1.79446	1.44250207774	0.4625	-1.03073634673	-2.65288511499	26.7402190009	0
500000	-0.15066300000000002	6.60607	4.55467	2.09291	2.5396099999999997	1.56390285275	0.5025	0.304595161288	-3.97513483931	20.5436657432	0
500000	0.511219	6.7426	4.42741	2.6166099999999997	2.3349	1.54114020743	0.495	-0.7501898506820001	-3.5644166777499997	-8.62323943202	0
500000	-0.09889500000000001	5.928780000000001	3.75239	1.6594	1.35256	1.45767717461	0.4675	-0.5007988553989999	2.8805565641000004	-6.553207144299999	0
500000	1.78157	4.36794	3.0657900000000002	1.1790399999999999	1.1182	1.58666549806	0.51	-0.166587882646	0.237361199741	-8.91347346137	0
500000	0.782013	5.8285599999999995	2.75639	1.57271	0.474041	1.55631530431	0.5	0.160297034021	1.8258746988299999	-5.28354091406	0
500000	0.0	4.6601	3.93972	2.21758	2.51707	1.7611791121400002	0.5675	1.0242548962	-0.692863470149	11.001657353299999	0
500000	1.048691	5.09989	5.1875	1.9313900000000002	2.38905	1.4956149168000001	0.48	1.1792817474200001	3.8280206875199996	0.0800759253186	0
500000	-0.20610599999999998	9.25458	4.8969	3.00478	3.0705400000000003	1.73841646683	0.56	0.575627531167	-1.6576458704700001	1.43117083075	0
500000	3.259402	2.03275	4.50105	2.4409400000000003	0.606781	1.51079001368	0.485	1.86908298724	-5.683388235060001	0.036258337141800004	0
500000	2.826598	5.29091	3.96593	1.9052200000000001	2.01714	1.61701569182	0.52	0.8409604572130001	-4.50847748613	1.41381825704	0
500000	0.618784	4.04634	4.19958	2.4879599999999997	1.70213	1.70806627308	0.55	0.235445939278	7.1269994289100005	-2.67749414572	0
500000	1.18967	4.47415	4.0622	2.2156700000000003	2.11622	1.6321907886899998	0.525	0.6445918261399999	-3.57933708705	-23.850288773600003	0
500000	-0.12431500000000001	5.0641099999999994	3.6994300000000004	1.50559	1.3724299999999998	1.60942814338	0.5175	-0.803945248529	0.506352645882	-18.8503925992	0
500000	-0.41628699999999996	4.42825	3.64428	1.68239	1.15421	1.6246032402500001	0.5225	-1.46679967028	2.22833935223	-5.544581868990001	0
500000	1.075561	9.759269999999999	3.6799699999999995	2.11508	2.16035	1.6321907886899998	0.525	0.333949831048	-3.8832738879300006	-8.62868379749	0
500000	0.0	7.1699399999999995	2.57457	1.31259	2.0703099999999997	1.51079001368	0.485	0.567341899569	0.7164389608	3.52683037274	0
500000	-0.152123	6.02445	4.66436	2.4894	2.73137	1.6018405949399999	0.515	0.729662622834	4.80491096731	16.2292222789	0
500000	5.675172	4.0102	4.83774	2.62207	2.24173	1.60942814338	0.5175	0.563066578154	0.41905712968500003	16.663276423800003	0
500000	1.727429	8.856110000000001	4.87277	2.1642799999999998	2.76418	1.48802736837	0.4775	0.026917089030900003	7.67578431376	1.6479691695299998	0
500000	0.0	8.07194	5.4701	2.26187	2.22427	1.6321907886899998	0.525	-0.796922460189	-13.504772595599999	-8.639767923439999	0
500000	-0.439486	2.15468	3.50149	1.21255	1.1704299999999999	1.42732698086	0.4575	1.4594135715600003	7.29006798463	16.8313463094	0
500000	-0.075163	9.25084	3.62583	1.9366900000000002	2.12351	1.6549534340099998	0.5325	-0.09527089782439999	7.0784492107500006	-20.6767010626	0
500000	0.0	8.68711	4.68386	2.9052700000000002	2.22445	1.6625409824500001	0.535	-0.40936303950999997	2.5507393880099998	5.17549758749	0
500000	-0.152254	5.02154	3.16815	1.08181	1.16086	1.41215188398	0.4525	0.9551691935150001	-3.50166437627	8.63277155762	0
500000	-0.425201	3.5419400000000003	4.40411	2.2460299999999997	2.08296	1.56390285275	0.5025	0.25578381160999997	0.7231967464489999	12.3723199796	0
500000	0.185151	9.70641	4.26058	1.8138900000000002	1.95935	1.58666549806	0.51	1.1522676266	-1.02315459369	3.6702299796499998	0
500000	-0.029289	8.87858	5.1965	1.9358799999999998	0.9867319999999999	1.48802736837	0.4775	1.48437028151	-2.42156074126	10.6358642061	0
500000	1.168748	5.58177	5.14312	2.7747900000000003	1.59574	1.67771607932	0.54	-0.867345287147	5.705574836819999	0.367381978245	0
500000	1.208789	6.863410000000001	3.7160300000000004	2.04359	1.3999	1.63977833713	0.5275	0.591413129595	5.24547979828	8.90098883367	0
500000	-0.589661	8.23574	5.7100599999999995	2.9316	3.38895	1.67771607932	0.54	0.653688095219	1.4803066007799999	6.57713295609	0
500000	0.0	6.78175	3.44858	2.45284	1.31538	1.6246032402500001	0.5225	-1.7817732490599998	-1.1484690255399999	-40.5206251934	0
500000	-0.007331	4.327369999999999	4.32351	2.75481	2.08985	1.76876666058	0.57	-1.2300253070799998	0.63694887036	-3.03487200862	0
500000	-0.133519	2.06303	4.877269999999999	3.00894	1.3490799999999998	1.56390285275	0.5025	1.1988363997799998	-0.892194538028	14.5068572792	0
500000	0.9914379999999999	9.6503	5.55706	2.1098	2.65449	1.5487277558700001	0.4975	-0.591886207416	1.6393324509600002	8.66887738648	0
500000	0.0	2.84879	4.39865	2.32776	0.568365	1.61701569182	0.52	-0.47806626662600005	11.089960612899999	6.106186929400001	0
500000	-0.167946	5.7734	3.18899	1.2917399999999999	1.5228700000000002	1.73082891839	0.5575	-1.4409767672999998	-4.6195790969	-6.841401626980001	0
500000	-0.239848	2.53666	4.10122	2.0182	0.981039	1.57149040119	0.505	0.159912498362	1.6113273323	-12.5718439548	0
500000	-0.201226	5.871	3.63743	1.79594	1.03672	1.4728522714899999	0.4725	0.285709243555	2.0385003021	-16.240438898599997	0
500000	0.0	6.29789	4.9991699999999994	3.48296	1.55324	1.6246032402500001	0.5225	0.41125424574	3.35426568932	5.85978156148	0
500000	0.362288	7.393339999999999	5.483230000000001	1.96097	1.75635	1.45008962617	0.465	-0.19172286197799998	-3.6366692041400004	-11.367709297000001	0
500000	0.872801	11.7344	3.4407099999999997	1.03158	1.8229400000000002	1.6321907886899998	0.525	-0.195654187741	0.238289996126	14.456028655699999	0
500000	0.0	7.73871	3.69191	1.28881	1.44741	1.63977833713	0.5275	-0.831941009459	-0.619880319938	9.70167790099	0
500000	1.189849	5.624280000000001	4.43751	2.29034	1.50082	1.6549534340099998	0.5325	0.252264998442	-1.49860968701	12.984436414100001	0
500000	0.0	9.28466	3.13992	1.73806	2.19575	1.68530362776	0.5425	0.419817705487	-5.373989605669999	-24.459238464000002	0
500000	-0.09866799999999999	8.5715	3.15279	1.37804	2.2082	1.60942814338	0.5175	1.08795368311	4.455449925430001	11.3542782908	0
500000	-0.136285	8.360330000000001	4.55586	1.76962	2.51002	1.51079001368	0.485	-1.32459978564	1.9838252652500001	0.824393861982	0
500000	0.0	4.588830000000001	4.94155	2.76009	2.58453	1.4349145293	0.46	0.667218243933	0.7332063719399999	1.23794435256	0
500000	-0.294777	4.672969999999999	4.752269999999999	2.24923	1.19755	1.5487277558700001	0.4975	-2.02981752244	3.37568250427	-11.229015784400001	0
500000	-0.555954	6.957510000000001	4.73182	2.12469	1.4732399999999999	1.6321907886899998	0.525	1.51524628395	4.76314029617	-1.9303448069999998	0
500000	-0.227883	2.1970099999999997	3.3277099999999997	0.812476	2.01329	1.6928911762	0.545	1.9034438906599997	0.559559537383	-4.978284908319999	0
500000	0.054799	6.77929	4.56424	2.19723	2.23818	1.73841646683	0.56	-1.0938197259	1.70735008663	-1.2163602499500001	0
500000	0.35349899999999995	3.02045	3.2696099999999997	1.56361	1.20797	1.5032024652399998	0.4825	-0.36370419289899997	-0.727714232167	-14.631438409200001	0
500000	-0.135178	10.3388	4.52019	2.1886400000000004	2.8399099999999997	1.60942814338	0.5175	-0.22333657398499998	-2.9992650218	-7.31798955925	0
500000	0.0	5.39256	4.3669	2.451	0.104048	1.56390285275	0.5025	-0.7478807913459999	-3.4447689717800003	16.145673051	0
500000	-0.27063000000000004	4.43825	4.14027	2.03425	2.6844900000000003	1.67012853088	0.5375	-1.0934567711299998	-7.17999906778	1.7676923662200001	0
500000	0.328529	7.327089999999999	3.20688	1.4468	1.86346	1.55631530431	0.5	-0.898928267161	7.203619021160001	7.6809748213499995	0
500000	-0.09586599999999999	5.581	4.68631	2.18771	1.09946	1.4197394324200001	0.455	-0.521331960034	-0.609903995427	-3.9416985795899997	0
500000	0.971295	4.75999	2.75644	2.13235	1.61008	1.5183775621200002	0.4875	-1.07848527908	7.361653554339999	3.1149349704400002	0
500000	0.382458	3.43254	3.5835	2.54422	0.0415996	1.54114020743	0.495	1.57184017312	-0.062047847728399996	0.695216457243	0
500000	-0.795136	3.9946699999999997	5.24705	3.24154	1.45868	1.67771607932	0.54	0.8907334007269999	-4.856869509709999	-19.574603513099998	0
500000	0.0	3.9937400000000003	3.7991099999999998	1.1401700000000001	1.47222	1.51079001368	0.485	0.520162196286	3.9007122867199997	20.0051298021	0
500000	-0.0135	7.34417	3.50331	1.24004	2.7526200000000003	1.6928911762	0.545	0.222062466956	0.030017180070700002	2.22595043233	0
500000	-0.579512	3.05947	4.15115	2.72653	1.06395	1.6625409824500001	0.535	-1.0415649564700002	-3.4301213942400004	21.9142778314	0
500000	0.0	6.64075	4.59296	2.6656	2.15061	1.61701569182	0.52	0.24755394537300002	-2.34143465143	0.17498343430799998	0
500000	0.090802	7.24838	3.4741699999999995	1.83578	1.91057	1.46526472305	0.47	2.35939109435	1.3891071267700001	-7.458374288350001	0
500000	-0.128126	3.11333	5.7186699999999995	3.8103300000000004	0.858611	1.07071220426	0.51	0.6863778238410001	0.247283504191	-8.25076308577	0
500000	0.364151	3.33655	4.0179599999999995	2.90623	0.5442060000000001	1.54114020743	0.495	0.0265220488228	-1.5862287229299998	-8.53624834679	0
500000	-0.149303	5.04663	4.0770599999999995	2.87108	2.3486599999999997	1.6928911762	0.545	-2.16439312958	-2.70434181552	-9.47193537645	0
500000	-0.141104	9.74727	6.10008	3.0847900000000004	2.28586	1.8522296934	0.5975	1.17376191041	-6.27530541101	25.707912702399998	0
500000	0.0	11.5208	4.8832	1.5743	2.781	1.48802736837	0.4775	0.38234770380800004	0.32668957693100004	18.6205282805	0
500000	0.0	5.85659	3.8609	1.8605200000000002	2.2488200000000003	1.48043981993	0.475	0.309909165571	0.465333032684	15.0116072841	0
500000	1.407432	4.4179900000000005	3.87931	2.0253200000000002	0.808016	1.5032024652399998	0.4825	1.0439690082	1.91819483789	2.98818670736	0
500000	0.0	10.0432	4.07219	2.50296	0.819635	1.71565382151	0.5525	-0.45427017519900004	8.11724463666	1.57300855357	0
500000	-0.13388599999999998	8.90298	4.76989	2.2927400000000002	1.86798	1.6321907886899998	0.525	1.18621437172	5.4710188538499995	21.2201659929	0
